Number of statements,No. of  iterations in outer,No. of  iterations in inner,No. of statements in outer ,No. of statements in inner,Number of loops,levels of nested loops,total  iterations ,# of Complex Variables,CC*,function calls,branches ,SWPP,Number of inputs,Number of outputs,Sizes of input data (byte),Sizes of output data (byte),No. 0f iterations* statement inner,repeating time,adjusted execution time
0.0,0.000121529887672,0.008354218880535,0.096774193548387,0.0,0.0,0.5,0.000374232726459,0.0,0.064516129032258,0.0,0.0,1.0,0.1,0.0,0.0,0.001065151784129,3.8366084895e-05,0.149149149149149,76350
0.0,0.000260421187868,0.847117794486216,0.096774193548387,0.0,0.0,0.5,0.062766930172803,0.0,0.064516129032258,0.0,0.0,1.0,0.1,0.0,0.105175292153589,0.002485354162968,0.006970838989116,0.001001001001001,98386
0.0,0.00053820378826,0.402673350041771,0.096774193548387,0.0,0.0,0.5,0.059865662025409,0.0,0.064516129032258,0.0,0.0,1.0,0.1,0.0,0.050500834724541,0.005325758920646,0.006648478141727,0.0,47297
0.049382716049383,0.017760725012587,0.001670843776107,0.161290322580645,0.020833333333333,0.25,1.0,0.01974174083805,0.0,0.129032258064516,0.0,0.333333333333333,1.0,0.4,0.0,0.051752921535893,0.090537901650985,0.003287694839161,0.0,42014
0.049382716049383,0.017760725012587,0.000835421888053,0.161290322580645,0.020833333333333,0.25,1.0,0.015791077828833,0.0,0.129032258064516,0.0,0.333333333333333,1.0,0.4,0.0,0.051752921535893,0.090537901650985,0.002629255661516,0.0,41501
0.049382716049383,0.017760725012587,0.0,0.161290322580645,0.020833333333333,0.25,1.0,0.011840414819616,0.0,0.129032258064516,0.0,0.333333333333333,1.0,0.4,0.0,0.051752921535893,0.090537901650985,0.00197081648387,0.0,40297
0.074074074074074,0.001371551589437,0.211361737677527,0.129032258064516,0.1875,0.0,0.5,0.079001685976304,0.0,0.193548387096774,0.0,1.0,1.0,0.5,0.0,0.025041736227045,0.045091425528138,0.048281038644936,0.0,159448
0.074074074074074,0.001197937464192,0.014202172096909,0.129032258064516,0.1875,0.0,0.5,0.005389722874879,0.0,0.193548387096774,0.0,1.0,1.0,0.5,0.0,0.000417362270451,0.003195455352388,0.003296268265954,0.0,20968
0.074074074074074,0.002239622215663,0.081035923141186,0.129032258064516,0.1875,0.0,0.5,0.050143327276164,0.0,0.193548387096774,0.0,1.0,1.0,0.5,0.0,0.008764607679466,0.017397479140778,0.030645499733259,0.0,114856
0.104938271604938,0.000121529887672,0.29156223893066,0.161290322580645,0.25,0.25,1.0,0.010848890997967,0.0,0.129032258064516,0.0,0.0,0.0,0.1,0.5,0.212020033388982,0.976034084857092,0.008442467698007,0.001001001001001,90436
0.104938271604938,0.000121529887672,0.29156223893066,0.161290322580645,0.25,0.25,1.0,0.010848890997967,0.0,0.129032258064516,0.0,0.0,0.0,0.1,0.5,0.261790484140234,1.0,0.008442467698007,0.001001001001001,90436
0.104938271604938,0.000121529887672,0.29156223893066,0.161290322580645,0.25,0.25,1.0,0.010848890997967,0.0,0.129032258064516,0.0,0.0,0.0,0.1,0.5,0.28182387312187,0.629682229717735,0.008442467698007,0.001001001001001,90436
1.0,0.000711817913505,0.104427736006683,0.290322580645161,0.958333333333333,0.25,0.5,0.020729406590354,0.0,0.516129032258064,0.727272727272727,1.0,0.0,0.0,0.0,0.123121869782972,0.211965205041718,0.055304389873154,0.0,233467
1.0,0.000711817913505,0.104427736006683,0.290322580645161,0.958333333333333,0.25,0.5,0.020729406590354,0.0,0.516129032258064,0.727272727272727,1.0,0.0,0.0,0.0,0.218384808013356,0.374045801526718,0.055304389873154,0.0,233478
1.0,0.000711817913505,0.104427736006683,0.290322580645161,0.958333333333333,0.25,0.5,0.020729406590354,0.0,0.516129032258064,0.727272727272727,1.0,0.0,0.0,0.0,0.210559265442404,0.360731404225102,0.055304389873154,0.0,233483
1.0,0.000711817913505,0.104427736006683,0.290322580645161,0.958333333333333,0.25,0.5,0.020729406590354,0.0,0.516129032258064,0.727272727272727,1.0,0.0,0.0,0.0,0.248226210350584,0.424818036570211,0.055304389873154,0.0,233483
0.037037037037037,0.002934078716644,0.005012531328321,0.258064516129032,0.020833333333333,0.0,0.5,0.005891271889721,0.0,0.064516129032258,0.0,0.0,1.0,0.3,0.5,0.073873121869783,0.00035505059471,0.000979299675346,0.039039039039039,127880
0.067901234567901,0.0,0.0,0.258064516129032,0.104166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,56000
0.024691358024691,0.000277782600392,0.197994987468672,0.096774193548387,0.0,0.0,0.5,0.015729348719314,0.0,0.096774193548387,0.181818181818182,0.0,1.0,0.4,0.0,0.063230383973289,0.005680809515356,0.001744478016555,0.019019019019019,159300
0.160493827160494,0.001371551589437,0.014202172096909,0.032258064516129,0.083333333333333,0.5,0.5,0.006161336743867,0.0,0.354838709677419,0.090909090909091,0.0,1.0,0.7,0.0,0.039858096828047,0.060003550505947,0.002053121381076,0.003003003003003,51428
0.154320987654321,0.019982985815726,0.005847953216374,0.451612903225806,0.041666666666667,1.0,1.0,0.044433384645656,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.300918196994992,0.067104562400142,0.009872086615616,0.0,45729
0.179012345679012,8.6807062623e-05,0.117794486215539,0.129032258064516,0.166666666666667,0.25,1.0,0.003321797705992,0.0,0.129032258064516,0.0,0.333333333333333,0.0,0.2,0.0,0.051752921535893,0.045091425528138,0.001847359138062,0.024024024024024,264125
0.08641975308642,0.0,0.004177109440267,0.290322580645161,0.166666666666667,0.0,0.0,1.9290346725e-05,0.0,0.161290322580645,0.0,0.666666666666667,0.0,0.8,0.0,0.359140233722871,0.00035505059471,1.2645804519e-05,0.4994994994995,121500
0.246913580246914,0.001163214639143,0.064327485380117,1.0,0.0,0.5,1.0,0.02097632302843,0.0,0.290322580645161,0.0,0.0,1.0,0.6,1.0,0.086811352253756,0.001065151784129,0.002327471038428,0.0,21079
0.030864197530864,0.0,1.0,0.0,0.145833333333333,0.25,0.0,0.004618109005891,0.3,0.064516129032258,0.090909090909091,0.0,0.0,0.4,0.0,1.0,0.851766376708681,0.002310324184844,0.029029029029029,2112930
0.080246913580247,1.0,0.00250626566416,0.064516129032258,0.333333333333333,0.0,0.5,1.0,0.1,0.225806451612903,0.181818181818182,0.333333333333333,0.0,0.4,0.0,0.499165275459098,0.851766376708681,1.0,0.0,10374917
0.216049382716049,0.000156252712721,0.472013366750209,0.548387096774194,0.3125,0.0,1.0,0.021902259671215,0.2,0.129032258064516,0.0,0.0,0.0,0.2,0.0,0.248747913188648,0.425705663056986,0.020691751227447,0.003003003003003,443688
0.030864197530864,3.4722825049e-05,0.24812030075188,0.0,0.083333333333333,0.25,0.0,0.00346068820241,0.2,0.096774193548387,0.0,0.0,1.0,0.4,0.0,0.499165275459098,0.851766376708681,0.001152911567889,0.0,3423
0.203703703703704,0.000156252712721,0.472013366750209,0.548387096774194,0.3125,0.0,1.0,0.021902259671215,0.2,0.129032258064516,0.0,0.0,0.0,0.2,0.0,0.248747913188648,0.425705663056986,0.020691751227447,0.005005005005005,659850
0.148148148148148,0.0,1.0,0.0,0.5625,0.0,0.0,0.004618109005891,1.0,0.225806451612903,0.636363636363636,0.0,0.0,0.3,0.0,0.499165275459098,0.851766376708681,0.007454380260199,0.041041041041041,20128332
0.179012345679012,1.7361412525e-05,0.0,0.161290322580645,0.4375,0.25,1.0,1.1574208035e-05,0.4,0.32258064516129,0.727272727272727,0.0,0.0,0.2,0.0,0.011686143572621,0.011006568436002,2.5077273367e-05,0.005005005005005,4212
0.339506172839506,3.4722825049e-05,0.0,0.032258064516129,1.0,0.5,0.0,2.314841607e-05,0.8,0.645161290322581,1.0,0.0,0.0,0.4,0.0,0.011686143572621,0.011006568436002,9.1950002347e-05,0.168168168168168,531167
0.135802469135802,3.4722825049e-05,0.0,0.032258064516129,0.5,0.0,0.5,2.314841607e-05,0.3,0.225806451612903,0.636363636363636,0.0,0.0,0.3,0.0,0.011686143572621,0.011006568436002,4.5653497669e-05,0.101101101101101,160038
